Country_Region,Last_Update,Confirmed,Deaths
Afghanistan,2022-12-06 04:21:03,206273,7835
Albania,2022-12-06 04:21:03,333413,3594
Algeria,2022-12-06 04:21:03,271113,6881
Andorra,2022-12-06 04:21:03,47219,157
Angola,2022-12-06 04:21:03,104750,1925
Antarctica,2022-12-06 04:21:03,11,0
Antigua and Barbuda,2022-12-06 04:21:03,9106,146
Argentina,2022-12-06 04:21:03,9739856,130034
Armenia,2022-12-06 04:21:03,445828,8712
Australia,2022-12-06 04:21:03,216088,130
Australia,2022-12-06 04:21:03,3678261,5572
Australia,2022-12-06 04:21:03,100490,81
Australia,2022-12-06 04:21:03,1702314,2346
Australia,2022-12-06 04:21:03,820092,1078
Australia,2022-12-06 04:21:03,264905,206
Australia,2022-12-06 04:21:03,2756204,6087
Australia,2022-12-06 04:21:03,1220918,764
Austria,2022-12-06 04:21:03,5583979,21232
Azerbaijan,2022-12-06 04:21:03,824512,9983
Bahamas,2022-12-06 04:21:03,37491,833
Bahrain,2022-12-06 04:21:03,696851,1536
Bangladesh,2022-12-06 04:21:03,2036663,29435
Barbados,2022-12-06 04:21:03,104416,567
Belarus,2022-12-06 04:21:03,994037,7118
Belgium,2022-12-06 04:21:03,748643,0
Belgium,2022-12-06 04:21:03,499434,0
Belgium,2022-12-06 04:21:03,628441,0
Belgium,2022-12-06 04:21:03,454389,0
Belgium,2022-12-06 04:21:03,510501,0
Belgium,2022-12-06 04:21:03,413768,0
Belgium,2022-12-06 04:21:03,343579,0
Belgium,2022-12-06 04:21:03,121422,0
Belgium,2022-12-06 04:21:03,199877,0
Belgium,2022-12-06 04:21:03,62398,33086
Belgium,2022-12-06 04:21:03,171164,0
Belgium,2022-12-06 04:21:03,490862,0
Belize,2022-12-06 04:21:03,69117,688
Benin,2022-12-06 04:21:03,27980,163
Bhutan,2022-12-06 04:21:03,62512,21
Bolivia,2022-12-06 04:21:03,1112501,22250
Bosnia and Herzegovina,2022-12-06 04:21:03,400601,16205
Botswana,2022-12-06 04:21:03,328760,2790
Brazil,2022-12-06 04:21:03,154736,2032
Brazil,2022-12-06 04:21:03,326350,7146
Brazil,2022-12-06 04:21:03,181766,2165
Brazil,2022-12-06 04:21:03,623905,14402
Brazil,2022-12-06 04:21:03,1727338,30879
Brazil,2022-12-06 04:21:03,1407686,28020
Brazil,2022-12-06 04:21:03,857077,11835
Brazil,2022-12-06 04:21:03,1255157,14859
Brazil,2022-12-06 04:21:03,1746613,27637
Brazil,2022-12-06 04:21:03,483414,11008
Brazil,2022-12-06 04:21:03,835676,14967
Brazil,2022-12-06 04:21:03,584820,10855
Brazil,2022-12-06 04:21:03,3939479,64007
Brazil,2022-12-06 04:21:03,853161,18928
Brazil,2022-12-06 04:21:03,678307,10465
Brazil,2022-12-06 04:21:03,2788149,45524
Brazil,2022-12-06 04:21:03,1089123,22482
Brazil,2022-12-06 04:21:03,405723,7969
Brazil,2022-12-06 04:21:03,568512,8504
Brazil,2022-12-06 04:21:03,2781326,41288
Brazil,2022-12-06 04:21:03,2648331,76161
Brazil,2022-12-06 04:21:03,460031,7368
Brazil,2022-12-06 04:21:03,179669,2177
Brazil,2022-12-06 04:21:03,1915180,22469
Brazil,2022-12-06 04:21:03,6204502,176417
Brazil,2022-12-06 04:21:03,351175,6457
Brazil,2022-12-06 04:21:03,348985,4208
Brunei,2022-12-06 04:21:03,257921,225
Bulgaria,2022-12-06 04:21:03,1287988,38053
